device_id,timestamp,temperature,humidity,location,battery_level
sensor_0120,5/3/2025 20:48,22.84,67.51,North,30.23
sensor_0151,8/3/2025 23:18,10.96,41.01,East,80.51
sensor_0626,10/3/2025 14:04,19.59,75.46,West,68.93
sensor_0116,2/14/2025 22:32,23.6,50.05,West,75.05
sensor_0095,10/4/2025 19:54,17.44,62.61,East,91.7
sensor_0933,5/24/2025 11:56,30.69,53.62,West,74.85
sensor_0159,10/8/2025 15:44,28.37,66.85,East,50.97
sensor_0457,5/21/2025 21:02,30.39,65.56,East,52.18
sensor_0076,9/25/2025 17:07,25.37,54.23,North,43.91
sensor_0380,2/5/2025 20:10,26.35,74.52,West,57.01
sensor_0362,10/15/2025 17:46,29.01,61.23,North,79.61
sensor_0271,3/19/2025 7:31,29.83,66.83,East,88.63
sensor_0289,1/20/2025 1:54,24.76,68.92,North,36.58
sensor_0580,3/22/2025 21:49,35.35,60.06,East,29.19
sensor_0727,8/8/2025 21:26,26.52,68.46,North,84.11
sensor_0355,7/1/2025 4:14,31.46,63.29,North,34.74
sensor_0144,11/5/2025 18:29,20.6,65.09,East,89.73
sensor_0089,9/22/2025 18:49,32.78,69.08,West,26.2
sensor_0506,2/19/2025 9:37,32.21,57.25,East,85.84
sensor_0354,6/15/2025 21:12,30.44,80.5,West,27.74
sensor_0877,6/19/2025 4:42,18.2,64.45,South,31.24
sensor_0771,8/14/2025 15:58,25.71,72.66,West,93.47
sensor_0698,11/18/2025 9:46,27.02,70.92,South,39.54
sensor_0219,8/5/2025 13:46,22.13,55.74,North,88.99
sensor_0924,9/1/2025 23:48,16.5,50,North,33
sensor_0880,6/27/2025 23:14,25.68,70,West,32.11
sensor_0275,10/30/2025 9:50,30.79,83.56,West,95.63
sensor_0336,10/23/2025 0:18,23.6,65.48,West,51.38
sensor_0935,2/15/2025 4:10,23.39,50.37,East,42.03
sensor_0555,7/21/2025 17:18,22.04,58.86,South,80.26
sensor_0578,10/15/2025 1:22,27.21,61.08,North,73.83
sensor_0219,11/6/2025 22:49,26.5,59.72,East,54.88
sensor_0175,1/15/2025 1:51,20.73,62.39,South,83.98
sensor_0083,9/9/2025 2:19,28.33,45.16,North,29.71
sensor_0659,7/31/2025 10:42,20.13,62.96,West,53.46
sensor_0416,2/3/2025 1:03,24.62,65.31,East,52.59
sensor_0370,9/28/2025 14:59,28.32,80.22,West,92.85
sensor_0007,3/5/2025 17:32,24.71,57.93,North,69.63
sensor_0863,4/22/2025 9:46,26.55,55.82,North,74.6
sensor_0466,9/14/2025 10:06,22.93,69.95,West,97.76
sensor_0784,6/13/2025 2:59,26.03,50.92,South,95.42
sensor_0960,4/1/2025 21:57,28.19,46.66,North,33.12
sensor_0014,10/27/2025 9:36,25.21,54.14,East,87.29
sensor_0464,4/23/2025 0:34,30.2,80.71,North,40.93
sensor_0510,9/18/2025 10:48,14.49,67.43,West,71.41
sensor_0781,2/5/2025 7:11,16.71,37.36,West,61.4
sensor_0770,7/19/2025 16:44,29.45,44.23,West,86.86
sensor_0277,7/13/2025 13:00,30.57,57.05,East,55.02
sensor_0724,3/29/2025 1:48,23.11,61.62,West,34.46
sensor_0087,2/9/2025 17:16,20.49,54.58,West,71.58
sensor_0864,7/18/2025 6:05,24.73,57.1,South,37.95
sensor_0034,3/3/2025 15:55,36.17,78.68,West,64.29
sensor_0642,11/10/2025 3:06,21.08,52.69,South,65.28
sensor_0206,10/6/2025 17:18,21.34,63.93,South,28.53
sensor_0047,5/8/2025 1:41,20.37,54.97,North,21.5
sensor_0602,3/10/2025 23:55,17.05,72.22,West,69.75
sensor_0551,2/14/2025 17:33,32.69,56.79,West,60.96
sensor_0752,10/29/2025 2:04,22.79,48.62,East,35.93
sensor_0633,2/12/2025 16:08,27.58,50.73,West,85.22
sensor_0486,6/12/2025 8:54,34.04,61.86,West,30.94
sensor_0080,1/20/2025 9:33,18.44,40.35,South,97.62
sensor_0079,8/26/2025 1:00,26.15,53.01,West,69.48
sensor_0661,6/26/2025 8:17,29.32,56.56,North,79.59
sensor_0562,10/30/2025 1:15,19.52,64.33,West,80.5
sensor_0638,11/4/2025 13:58,21.32,59.28,North,98.3
sensor_0126,2/13/2025 19:38,28.23,84.98,East,64.15
sensor_0131,5/27/2025 11:30,19.36,66.09,South,42.76
sensor_0922,3/31/2025 13:38,25.65,55.72,North,40
sensor_0760,3/9/2025 2:08,21.14,55.12,North,53.14
sensor_0562,5/29/2025 4:23,25.47,62.9,South,81.29
sensor_0536,6/17/2025 23:35,26.13,54.07,South,44.45
sensor_0727,10/27/2025 12:21,24.8,69.97,North,90.11
sensor_0323,2/8/2025 4:07,33.04,47.39,East,77.7
sensor_0489,1/24/2025 8:21,26.86,64.56,East,38.26
sensor_0445,5/20/2025 23:59,22.55,65.75,North,31.8
sensor_0699,1/17/2025 22:51,26.54,58.04,North,85.96
sensor_0267,1/7/2025 22:07,33.92,38.86,East,60.64
sensor_0150,4/26/2025 22:30,17.99,56.11,South,54.86
sensor_0561,2/3/2025 12:57,23.89,66.64,South,92.14
sensor_0169,5/6/2025 5:51,29.79,75.28,South,76.54
sensor_0213,5/31/2025 13:19,31.21,53.87,East,46.3
sensor_0169,4/10/2025 0:57,28.82,82.22,West,28.6
sensor_0859,9/8/2025 8:35,22.77,71.75,West,82.89
sensor_0707,3/5/2025 22:39,23.92,54.51,South,86.55
sensor_0589,7/22/2025 23:42,24.97,54.65,North,72.27
sensor_0020,10/13/2025 18:57,35.6,56.32,West,27.93
sensor_0298,7/20/2025 7:08,24.25,67.67,South,80.56
sensor_0155,2/28/2025 0:23,21.2,82.09,East,67.24
sensor_0265,5/13/2025 20:30,25.9,47.01,South,36.46
sensor_0885,5/22/2025 4:37,24.99,57.81,East,36.37
sensor_0540,3/13/2025 14:45,24.55,61.17,North,26.77
sensor_0655,10/29/2025 16:16,18.69,49.89,North,74.21
sensor_0573,3/2/2025 4:17,32.87,75.14,East,22
sensor_0635,3/2/2025 18:20,20.85,68,West,67.13
sensor_0839,5/26/2025 4:50,13.44,44.12,North,35.46
sensor_0737,7/31/2025 23:45,27.05,60.79,North,58.03
sensor_0083,7/1/2025 20:44,22.84,48.87,East,97.73
sensor_0411,10/7/2025 2:03,19.67,52.84,South,65.59
sensor_0907,9/4/2025 14:53,28.08,49.51,South,24.36
sensor_0889,9/25/2025 17:51,27.42,68.56,West,89.18
sensor_0226,1/28/2025 6:29,24.49,67.3,South,21.03
sensor_0314,6/29/2025 21:35,23.55,53.22,South,33.24
sensor_0943,4/13/2025 2:45,22.48,51.83,East,70.87
sensor_0767,6/7/2025 12:29,24.71,56.65,West,81.28
sensor_0774,7/19/2025 13:17,31.22,74.23,South,37.5
sensor_0627,3/25/2025 3:42,32.01,67.96,East,77.74
sensor_0027,10/29/2025 8:07,26.94,72.43,West,67.8
sensor_0336,3/2/2025 3:16,28.61,37.96,East,69.5
sensor_0460,11/19/2025 21:23,22.91,54.25,West,96.67
sensor_0356,8/1/2025 1:52,26.51,51.87,East,32.04
sensor_0121,3/30/2025 8:14,25.76,61.71,South,21.96
sensor_0974,3/30/2025 9:28,28.37,55.27,East,75.3
sensor_0070,3/19/2025 6:10,22.29,54.87,North,59.86
sensor_0815,10/11/2025 9:14,31.44,52,South,66.45
sensor_0966,6/13/2025 12:07,28.5,61.7,North,64.48
sensor_0457,6/15/2025 10:31,30.73,66.51,West,79.94
sensor_0209,3/3/2025 1:21,36.66,54.58,East,75.41
sensor_0862,10/20/2025 4:47,23.01,65.88,East,82.76
sensor_0917,3/29/2025 7:41,27.76,62,West,96.47
sensor_0746,7/24/2025 9:38,19.91,56.15,West,82.97
sensor_0654,9/6/2025 13:27,17.05,65.84,West,34.5
sensor_0013,6/8/2025 6:32,17.78,70.53,North,62.95
sensor_0652,5/28/2025 7:36,22.45,44.85,South,91.31
sensor_0783,7/16/2025 2:59,20.25,65.98,North,80.67
sensor_0110,6/12/2025 3:12,26.85,57.6,North,41.23
sensor_0910,5/7/2025 23:16,15.61,75.37,North,92.98
sensor_0324,10/22/2025 17:39,21.6,53.99,West,24.98
sensor_0947,4/10/2025 18:22,27.59,67.47,South,71.01
sensor_0844,1/30/2025 15:21,30.47,63.58,North,44.67
sensor_0098,1/5/2025 17:30,30.49,59.63,East,64.9
sensor_0221,2/8/2025 8:01,34.45,70.02,North,94.88
sensor_0691,1/10/2025 5:26,26.17,41.63,South,73.75
sensor_0220,10/10/2025 1:34,27.99,55.23,East,95.01
sensor_0532,5/24/2025 14:33,30,60.22,North,82.49
sensor_0406,5/15/2025 8:18,16.25,35.02,South,61.55
sensor_0760,7/9/2025 11:54,32.59,67.56,South,70.64
sensor_0280,2/13/2025 0:48,22.44,66.57,West,97.82
sensor_0392,10/5/2025 3:53,22.37,59.83,South,60.79
sensor_0797,1/25/2025 21:12,25.77,46.19,East,29.67
sensor_0153,7/31/2025 15:08,32.7,53.63,West,62.01
sensor_0640,2/11/2025 5:54,23.23,73.42,East,33.03
sensor_0516,8/20/2025 4:16,27,56.67,West,72.56
sensor_0844,8/11/2025 3:22,21.63,59.14,South,75.73
sensor_0188,9/6/2025 6:49,21.27,52,North,61.19
sensor_0369,1/22/2025 20:51,19.95,61.58,North,60.69
sensor_0313,1/6/2025 20:54,25.14,38.33,North,84.26
sensor_0574,6/28/2025 0:59,27.28,51.89,West,22.75
sensor_0193,6/10/2025 1:05,24.01,78.04,South,76.66
sensor_0254,8/3/2025 3:46,31.95,55.49,South,28.49
sensor_0892,7/15/2025 10:09,30.33,77.06,North,23.99
sensor_0481,8/21/2025 0:07,21.51,60.6,West,47.32
sensor_0302,8/27/2025 17:44,25.33,58.8,South,24.26
sensor_0354,9/21/2025 22:53,23.33,47.2,West,87.83
sensor_0102,9/13/2025 17:05,26.74,46.16,South,35.97
sensor_0151,8/4/2025 17:10,23.87,74.14,West,91.65
sensor_0809,5/1/2025 18:38,22.19,56.91,West,31.98
sensor_0087,6/11/2025 6:58,25.28,63.87,West,28.2
sensor_0839,7/17/2025 8:51,22.61,58.4,West,54.6
sensor_0196,3/27/2025 3:34,22.86,47.82,South,38.62
sensor_0282,1/1/2025 18:21,21.93,61.57,West,40.44
sensor_0392,7/21/2025 22:21,27.02,70.72,West,70.54
sensor_0181,6/8/2025 13:56,15.94,48.91,West,57.71
sensor_0296,10/11/2025 3:10,17.32,56.49,North,30.21
sensor_0855,11/3/2025 2:13,23.48,49.29,West,79.3
sensor_0236,2/8/2025 16:28,29.27,60.38,West,39.13
sensor_0954,7/7/2025 4:47,20.75,53.06,East,20.58
sensor_0757,8/1/2025 6:10,22.12,47.37,North,81.79
sensor_0429,9/21/2025 2:31,17.19,49.55,East,60.55
sensor_0322,9/24/2025 11:30,28.37,73,South,82.17
sensor_0415,1/15/2025 6:19,31.07,51.08,East,81.4
sensor_0893,4/2/2025 22:10,28.91,62.4,West,98.2
sensor_0494,9/17/2025 15:39,21.65,61.5,East,97.39
sensor_0538,2/27/2025 17:26,27.39,57.93,East,81.38
sensor_0769,7/17/2025 2:30,26.69,46.75,North,34.92
sensor_0823,1/26/2025 1:24,24.06,54.64,South,58.1
sensor_0177,5/31/2025 1:00,26.8,47.61,East,98.49
sensor_0077,2/22/2025 4:15,25.52,59.1,South,48.17
sensor_0306,1/5/2025 4:09,27.13,60.7,East,33.31
sensor_0997,3/31/2025 23:52,28.49,42.48,East,52.74
sensor_0282,4/24/2025 22:07,21.4,42.76,South,63.36
sensor_0651,8/28/2025 7:28,28.4,63.95,West,83.74
sensor_0137,8/9/2025 17:24,20.17,69.82,West,28.48
sensor_0970,5/31/2025 0:17,32.18,49.61,West,74.45
sensor_0553,6/23/2025 9:27,26.12,66.97,North,33.76
sensor_0896,3/18/2025 16:04,27.52,53.37,North,74.15
sensor_0959,7/20/2025 5:44,25.3,50.71,East,64.54
sensor_0924,3/20/2025 20:44,20.86,58.08,North,82.51
sensor_0927,5/4/2025 20:35,23.31,66.15,East,73.82
sensor_0809,10/18/2025 20:07,22.65,71.21,West,76.61
sensor_0297,5/26/2025 2:21,26.03,61.11,North,74.23
sensor_0410,6/17/2025 16:25,23.45,54.97,West,64.28
sensor_0176,5/22/2025 6:00,18.09,61.53,East,99.85
sensor_0213,6/29/2025 2:18,23.98,68.97,South,88.7
sensor_0604,2/16/2025 3:02,18.31,74.55,South,60.54
sensor_0996,1/4/2025 5:05,20.11,53.49,South,60.85
sensor_0094,3/26/2025 0:02,17.77,67.31,East,84.13
sensor_0379,7/12/2025 21:39,32.62,66.94,South,57.47
sensor_0468,4/16/2025 1:28,20.09,70.16,North,64.51
sensor_0771,10/15/2025 10:42,17.16,59.78,North,57.22
sensor_0584,7/19/2025 1:20,24.67,63.03,South,56.42
sensor_0475,4/30/2025 6:19,27.04,48.78,North,78.8
sensor_0163,4/7/2025 17:06,29.84,75.8,South,87.26
sensor_0801,10/30/2025 20:19,24.09,65.95,West,43.62
sensor_0120,2/13/2025 10:41,21.04,49.99,North,74.84
sensor_0172,10/1/2025 21:35,33.99,45.91,West,23.25
sensor_0800,8/30/2025 19:08,22.75,46.24,North,35.78
sensor_0401,11/15/2025 21:24,22.03,63.15,East,36.87
sensor_0978,5/7/2025 14:02,20.47,64.12,South,20.72
sensor_0304,4/24/2025 1:16,11.04,51.25,North,45.15
sensor_0928,6/30/2025 3:49,18.95,60.15,East,40.58
sensor_0447,7/28/2025 19:11,27.81,59.44,West,40.78
sensor_0750,9/3/2025 20:38,25.66,73.29,South,23.67
sensor_0329,8/7/2025 13:58,29.13,67.09,South,81.14
sensor_0590,9/25/2025 8:57,18.06,68.49,South,90.33
sensor_0804,3/9/2025 7:27,31.5,64.85,South,92.27
sensor_0740,7/20/2025 14:14,17.96,54.04,West,36.1
sensor_0840,10/12/2025 4:44,18.32,48.57,West,25.17
sensor_0998,1/6/2025 20:24,24.04,49.76,West,28.51
sensor_0259,8/13/2025 12:17,21.64,48.14,North,83.57
sensor_0476,3/4/2025 17:56,22.89,78,East,76.99
sensor_0192,6/14/2025 15:06,11.29,68.47,South,50.01
sensor_0902,8/26/2025 11:28,25.29,52.7,West,46.85
sensor_0186,2/26/2025 5:20,25.48,41.37,South,74.74
sensor_0236,9/19/2025 14:16,25.12,56.62,West,69.11
sensor_0906,3/17/2025 18:29,22.58,52.4,West,45.28
sensor_0746,3/22/2025 9:38,27.12,51.31,South,49.22
sensor_0568,9/16/2025 19:58,18.64,63.23,North,89.22
sensor_0180,10/16/2025 0:13,14.63,43.86,South,28.32
sensor_0505,10/28/2025 8:59,22.2,61.41,East,69.88
sensor_0045,9/16/2025 18:00,37.56,62.24,South,26.35
sensor_0458,2/13/2025 12:28,26.85,74.74,South,92.65
sensor_0346,2/24/2025 16:15,21.41,68.12,East,78.58
sensor_0232,4/12/2025 21:55,20.77,49.3,West,44.86
sensor_0050,8/3/2025 2:38,37.2,49.48,East,48.96
sensor_0069,9/9/2025 21:00,21.43,46.07,North,56.07
sensor_0053,1/21/2025 23:50,25.99,72.05,East,80.23
sensor_0507,7/28/2025 17:48,13.8,51.21,South,78.47
sensor_0264,3/19/2025 14:26,22.17,59.04,South,53.04
sensor_0215,2/2/2025 14:44,27.39,67.16,East,92.69
sensor_0691,5/21/2025 22:53,31.97,61.36,North,96.24
sensor_0938,6/23/2025 7:59,21.85,45.9,West,80.19
sensor_0785,10/29/2025 4:42,28.9,61.47,South,53.82
sensor_0937,9/15/2025 1:15,24.85,77.6,South,71.69
sensor_0517,10/22/2025 7:40,19.83,72.18,South,86.45
sensor_0337,2/14/2025 15:31,29.02,51.71,West,39.08
sensor_0675,2/12/2025 1:25,31.06,64.42,West,93.61
sensor_0795,11/13/2025 1:52,18.66,52.42,East,76.94
sensor_0590,11/1/2025 13:26,25.98,67.29,West,99.79
sensor_0926,9/24/2025 7:30,24.72,61.85,East,32.98
sensor_0770,10/31/2025 6:35,29.6,60.55,West,45.81
sensor_0879,5/14/2025 17:23,24.11,38.38,East,66.02
sensor_0318,4/26/2025 4:07,20.84,66.53,North,21.97
sensor_0390,5/18/2025 12:10,12.81,56.89,North,92.04
sensor_0275,5/4/2025 0:18,23.45,50.37,South,27.35
sensor_0946,7/7/2025 9:46,23.03,73.53,West,72.76
sensor_0565,7/19/2025 18:45,27.98,61.27,North,44.01
sensor_0806,3/31/2025 17:00,23.57,42.41,East,76.91
sensor_0140,9/27/2025 20:54,27.64,52.91,East,27.91
sensor_0184,3/25/2025 15:40,32.15,80.08,South,29.85
sensor_0578,11/11/2025 9:31,17.99,38.14,West,50.95
sensor_0042,1/1/2025 23:23,27.25,64.05,West,71.82
sensor_0239,7/26/2025 9:44,23.5,57.58,East,79.7
sensor_0660,3/14/2025 13:12,27.83,35.9,West,75.91
sensor_0475,3/23/2025 15:30,42.49,64.2,East,72.45
sensor_0062,6/4/2025 0:27,27.51,69.81,West,41.25
sensor_0629,10/5/2025 23:39,30.75,66.44,East,58.64
sensor_0025,10/10/2025 20:09,32.6,53.68,South,21.36
sensor_0173,10/16/2025 13:53,23.05,74.33,South,51.62
sensor_0557,2/25/2025 20:41,25.97,55.32,West,41.13
sensor_0182,8/22/2025 20:00,24.74,55.21,South,77.27
sensor_0606,11/15/2025 10:27,30.32,47.15,North,89.76
sensor_0955,9/22/2025 3:52,31.87,68.51,South,22.53
sensor_0330,7/16/2025 22:25,31.53,55.97,East,51.14
sensor_0341,7/21/2025 15:34,21.69,39,West,61.11
sensor_0212,5/3/2025 18:14,34.23,41.73,North,79.66
sensor_0646,7/21/2025 2:40,21.6,64.14,South,82.2
sensor_0062,5/13/2025 8:57,23.01,57.83,West,75.07
sensor_0193,10/13/2025 20:37,27.58,66.28,South,23.83
sensor_0990,8/22/2025 0:28,32.29,45.98,East,20.79
sensor_0018,6/18/2025 17:12,23.72,50.83,South,88.11
sensor_0425,7/11/2025 19:09,20.86,61.61,East,90.36
sensor_0460,10/25/2025 23:54,25.18,80.06,South,23.89
sensor_0023,9/30/2025 22:15,18.58,46.45,East,36.34
sensor_0276,11/16/2025 17:43,25.92,62.54,North,31.94
sensor_0535,2/14/2025 23:15,16.5,57.88,East,87.71
sensor_0008,1/1/2025 10:02,23.72,51.06,East,65.21
sensor_0286,4/14/2025 23:58,31.45,55.16,North,83.78
sensor_0994,5/2/2025 18:47,24.69,55.14,North,40.28
sensor_0104,3/8/2025 10:02,26.84,65.69,South,53.26
sensor_0730,7/8/2025 17:58,26.4,62.84,South,69.8
sensor_0098,2/23/2025 10:33,28.64,64.72,East,50.65
sensor_0049,7/11/2025 20:18,15.96,50.09,North,70.92
sensor_0101,7/16/2025 21:24,23.08,65.44,West,20.84
sensor_0521,1/1/2025 15:07,26.51,39.65,North,86.81
sensor_0271,11/8/2025 19:00,21.79,54.71,North,41.97
sensor_0669,6/20/2025 4:24,19.71,66.91,West,22.65
sensor_0079,1/3/2025 8:56,18.27,64.2,East,47.7
sensor_0295,9/1/2025 2:09,25.02,48.76,East,80.67
sensor_0470,7/1/2025 23:28,24.72,56.08,South,26.45
sensor_0197,8/27/2025 3:15,31.65,50.79,West,56.05
sensor_0723,7/29/2025 23:03,15.87,69.14,East,97.8
sensor_0640,11/2/2025 19:39,33.14,64.42,North,34.66
sensor_0995,10/27/2025 15:53,14.66,73.31,North,84.58
sensor_0788,8/11/2025 15:01,21.65,62.64,South,64.94
sensor_0523,1/21/2025 17:38,29.64,53.75,East,31.2
sensor_0620,7/14/2025 10:11,26.16,72.93,South,52.56
sensor_0759,10/25/2025 16:22,30.13,53.51,East,61.9
sensor_0538,4/12/2025 2:27,27.12,65.15,West,47.73
sensor_0901,2/16/2025 8:38,22.85,46.47,East,90.65
sensor_0464,6/2/2025 14:53,26.78,68.38,West,27.05
sensor_0359,9/22/2025 7:27,20.01,57.39,West,21.34
sensor_0020,4/8/2025 6:50,33.74,43.62,South,26.94
sensor_0573,9/13/2025 9:47,31.1,59.81,West,52.54
sensor_0884,8/2/2025 11:21,18.76,68.37,South,54.37
sensor_0952,3/20/2025 23:21,26.27,60.81,North,57.32
sensor_0558,9/19/2025 1:08,29.6,54.95,South,21.81
sensor_0403,8/16/2025 1:51,23.19,68.46,West,32.58
sensor_0586,3/2/2025 8:01,30.65,72.42,West,94.58
sensor_0479,1/14/2025 22:21,17.47,68.31,North,25.92
sensor_0366,1/18/2025 23:31,22.14,58.54,East,54.66
sensor_0949,2/8/2025 18:24,24.04,58.17,West,48.39
sensor_0784,9/28/2025 17:52,26.48,58.98,East,47
sensor_0134,5/18/2025 12:33,22.11,55.32,West,44.04
sensor_0605,5/24/2025 11:14,20.84,57.8,South,81.16
sensor_0096,2/1/2025 18:50,20.87,59.78,South,27.45
sensor_0716,5/12/2025 10:28,23.39,42.97,South,75.84
sensor_0403,3/25/2025 4:48,32.59,64.85,South,77.14
sensor_0331,6/25/2025 0:19,31.56,44.4,North,40.88
sensor_0715,6/9/2025 2:55,34.55,65.61,North,70.06
sensor_0300,1/8/2025 10:58,20.2,59.84,South,52.13
sensor_0908,7/15/2025 18:16,27.32,63.21,East,65.63
sensor_0956,7/16/2025 15:56,28.31,57.77,West,26.27
sensor_0007,4/27/2025 2:03,27.06,79.45,North,98.3
sensor_0890,4/11/2025 5:37,18.03,54.03,South,32.75
sensor_0468,3/2/2025 8:48,27.24,49.3,East,73.69
sensor_0007,9/30/2025 12:42,29.06,81.85,West,94.46
sensor_0613,11/12/2025 12:14,19.02,66.87,West,20.46
sensor_0120,5/13/2025 13:51,22.97,58.49,West,45.66
sensor_0172,10/14/2025 19:17,22.98,66.09,East,63.1
sensor_0717,9/11/2025 18:00,29.6,72.64,West,33.3
sensor_0031,7/20/2025 16:09,28.81,69.47,West,52.24
sensor_0458,3/30/2025 12:10,17.65,70,West,27.93
sensor_0535,10/14/2025 23:32,23.78,50.1,South,36.16
sensor_0467,3/1/2025 5:12,21.42,62.65,South,77.52
sensor_0223,3/27/2025 18:35,15.78,77.9,West,86.52
sensor_0493,3/9/2025 17:48,24.3,51.64,East,87.33
sensor_0549,7/27/2025 8:31,21.09,53.75,North,93.33
sensor_0792,3/31/2025 20:22,31.79,77.21,North,31.07
sensor_0810,8/23/2025 16:57,25.27,76.14,West,55.49
sensor_0492,11/3/2025 4:30,21.36,54.05,South,20.77
sensor_0185,8/22/2025 0:26,30.19,58.88,South,40.9
sensor_0078,5/24/2025 0:52,23.93,63.97,West,36.25
sensor_0034,6/3/2025 22:42,16.27,68.8,North,92.11
sensor_0278,10/28/2025 0:53,26.01,77.67,West,31.8
sensor_0864,3/27/2025 4:17,32.38,44.66,East,83.2
sensor_0291,3/23/2025 23:33,39.07,56.17,South,49.25
sensor_0076,5/27/2025 17:19,29.94,72.36,West,24.41
sensor_0457,8/29/2025 15:37,22.75,63.61,East,65.94
sensor_0552,4/9/2025 13:18,25.72,73.01,North,60.29
sensor_0911,9/3/2025 22:19,23.17,53.58,South,35.88
sensor_0993,4/8/2025 20:34,19.52,53.12,North,73.97
sensor_0787,10/31/2025 15:20,19.22,66.62,South,80.56
sensor_0632,7/22/2025 11:26,25.59,63.24,North,79
sensor_0564,3/5/2025 9:27,28.5,49.27,South,81.92
sensor_0963,3/6/2025 2:44,23.77,64.25,West,97.38
sensor_0279,10/21/2025 23:02,26.47,48.36,North,76.4
sensor_0705,7/19/2025 18:07,27.57,57.99,East,31.04
sensor_0952,5/26/2025 9:11,32.2,58.52,North,39.88
sensor_0132,2/7/2025 12:24,15.89,57.49,East,86.87
sensor_0504,2/16/2025 21:12,17.48,59.18,North,71.75
sensor_0625,4/9/2025 5:55,21.8,55.88,East,70.48
sensor_0212,8/18/2025 6:15,25.26,50.92,South,64.8
sensor_0317,2/3/2025 23:59,27.82,50.65,South,72
sensor_0784,9/16/2025 15:35,20.73,64.76,East,78.48
sensor_0272,5/22/2025 13:49,25.22,54.62,West,64.28
sensor_0888,1/11/2025 16:37,24.01,62.86,North,47.06
sensor_0655,3/2/2025 0:31,13.37,63.2,North,70.38
sensor_0430,2/17/2025 16:53,24.86,70.18,East,36.31
sensor_0679,10/22/2025 18:28,18.62,59.27,East,96.34
sensor_0849,5/6/2025 17:37,20.11,56.4,West,49.02
sensor_0105,4/11/2025 8:37,26.33,64.38,North,76.24
sensor_0978,8/19/2025 4:28,31.82,78.65,South,77.29
sensor_0342,7/20/2025 12:36,21.83,52.24,South,92.14
sensor_0002,3/10/2025 1:35,17.19,75.23,East,83.07
sensor_0725,9/6/2025 6:02,30.04,65.26,West,87.61
sensor_0553,2/28/2025 2:29,21.71,48.99,West,80.55
sensor_0509,8/19/2025 6:38,23.05,52.55,West,63.37
sensor_0976,1/26/2025 1:56,24.41,61.47,East,91.15
sensor_0424,8/31/2025 14:06,25.57,65.04,North,37.4
sensor_0626,6/22/2025 7:44,33.85,54.78,East,94.9
sensor_0062,4/13/2025 6:36,32.7,44.97,South,87.59
sensor_0928,2/15/2025 5:34,29.87,56.93,West,41.83
sensor_0436,6/25/2025 11:33,16.26,49.88,North,85.66
sensor_0855,2/5/2025 4:58,18.75,53.36,South,23.59
sensor_0230,5/14/2025 14:45,23.78,45.71,North,73.4
sensor_0034,4/21/2025 0:10,20.47,71.67,South,86.13
sensor_0716,1/23/2025 23:46,20.47,48.87,West,57.67
sensor_0538,9/23/2025 16:13,18.81,45.68,South,23.45
sensor_0101,1/30/2025 8:11,20.74,64.63,South,61.45
sensor_0617,10/31/2025 11:53,22.96,59.42,North,65.95
sensor_0426,4/12/2025 9:27,25.43,54.7,South,24.84
sensor_0688,4/23/2025 22:18,32.5,59.46,South,47.34
sensor_0842,4/6/2025 5:37,24.88,67.66,East,32.72
sensor_0307,9/6/2025 9:57,29.96,65.43,West,43.68
